"rfastnum","kdagur","nuvirdi","teg_eign","svfn","byggar","haednr","lyfta","ibm2","fjhaed","fjbilast","fjbkar","fjsturt","fjklos","fjeld","fjherb","fjstof","fjgeym","stig10","matssvaedi","undirmatssvaedi","ibteg"
10427645,"2015-08-04",56274,"Einbylishus",0,1971,1,0,153.9,1,0,1,1,1,1,4,2,0,10,170,0,11
10819375,"2015-07-31",65385,"Einbylishus",1604,1951,1,0,238.4,2,0,1,2,2,1,5,2,0,10,820,0,11
10668054,"2015-07-27",32283,"Ibudareign",0,1943,3,0,71,1,0,0,1,1,1,2,1,0,10,31,0,12
10065916,"2015-07-30",66030,"Einbylishus",1400,1980,1,0,241.4,2,0,1,2,2,1,5,2,0,10,600,0,11
10816991,"2015-07-10",25149,"Ibudareign",0,1943,2,0,61.4,1,0,1,0,1,1,2,1,0,10,75,0,12
10497031,"2015-07-30",31477,"Ibudareign",0,2004,2,0,104.5,1,1,1,0,1,1,2,1,1,10,270,0,12
10232668,"2015-07-27",27322,"Ibudareign",1100,1959,0,0,75.9,1,0,1,0,1,1,2,1,0,10,400,0,12
10827159,"2015-08-26",33000,"Einbylishus",8000,1977,1,0,142.4,1,0,0,1,1,1,4,1,0,10,8200,0,11
10264975,"2015-07-22",48213,"Einbylishus",1000,2000,1,0,132.3,1,0,0,1,1,1,3,2,1,10,300,0,11
10167982,"2015-07-30",23070,"Ibudareign",0,1939,1,0,56.6,1,0,0,1,1,1,2,1,0,10,90,12,12
10216260,"2015-07-14",27327,"Ibudareign",0,1970,2,0,88.5,1,0,1,0,1,1,3,1,1,10,170,0,12
10874791,"2015-08-05",22267,"Ibudareign",0,1966,3,1,53.6,1,0,1,0,1,1,1,1,0,10,100,1,12
10630399,"2015-07-30",20865,"Ibudareign",0,1984,3,0,52.8,1,0,1,0,1,1,1,1,1,10,220,0,12
10316431,"2015-07-31",37285,"Ibudareign",1000,2015,5,1,96.2,1,1,1,1,1,1,3,1,1,10,340,0,12
10268707,"2015-06-30",25633,"Ibudareign",1000,1988,3,0,78.6,1,0,1,0,1,1,2,1,0,10,330,0,12
10499497,"2015-07-28",54000,"Parhus",0,1941,1,0,230,3,0,1,2,3,2,6,1,0,10,90,0,11
10499095,"2015-07-29",27469,"Ibudareign",0,1978,3,0,83,1,0,1,0,1,1,2,1,1,10,160,0,12
10023608,"2015-07-31",18439,"Ibudareign",1400,1966,1,0,54,1,0,1,0,1,1,1,1,0,10,600,0,12
10965862,"2015-07-30",28731,"Radhus",1300,1984,1,0,84.9,1,0,0,1,1,1,2,1,0,10,530,101,11
10280787,"2015-07-21",35109,"Ibudareign",1400,1967,2,0,155,2,0,1,1,2,1,4,1,1,10,600,0,11
10070608,"2015-07-31",55592,"Einbylishus",1100,1978,1,0,182.4,2,0,1,1,2,1,5,2,0,10,400,0,11
10204143,"2015-08-05",53586,"Einbylishus",0,1980,1,0,195.5,2,0,1,2,2,1,2,3,0,10,150,0,11
10642495,"2015-08-04",21478,"Ibudareign",0,1967,2,0,50,1,0,1,0,1,1,1,1,2,10,90,17,12
10753231,"2015-07-29",36462,"Parhus",0,1981,1,0,130.4,2,0,1,0,2,1,5,1,0,10,160,0,11
10165020,"2015-06-04",86867,"Einbylishus",1000,2011,1,0,274.1,2,0,1,2,3,1,5,2,2,10,350,0,11
10749868,"2015-06-05",17640,"Ibudareign",0,1966,0,0,49.3,1,0,0,1,1,1,0,1,1,10,91,28,12
10018642,"2015-07-31",27648,"Ibudareign",0,1988,2,0,92.4,1,0,1,0,1,1,2,2,1,10,120,0,12
10334351,"2015-07-31",24493,"Ibudareign",0,1947,3,0,38.1,2,0,0,1,1,1,1,1,1,10,100,0,12
10141702,"2015-08-26",7948,"Einbylishus",3609,1910,1,0,68.1,2,0,0,0,1,1,1,1,0,10,3020,0,11
10322987,"2015-08-21",11993,"Ibudareign",3609,1959,0,0,75.5,1,0,1,0,1,1,2,1,0,10,3020,0,11
10527910,"2015-08-21",20246,"Ibudareign",3609,1959,1,0,91.7,1,0,1,0,1,1,2,1,0,10,3020,0,11
10749073,"2015-07-29",27729,"Ibudareign",0,1963,4,0,67.9,1,0,1,0,1,1,2,1,0,10,91,28,12
10701804,"2015-08-20",14418,"Ibudareign",6000,1957,3,0,62,1,0,0,1,1,1,1,1,0,10,6020,0,12
10107031,"2015-08-27",47641,"Einbylishus",6000,1982,1,0,219.8,2,0,1,1,2,1,5,2,0,10,6030,0,11
10099798,"2015-08-14",10200,"Ibudareign",2000,1959,1,0,71,1,0,0,1,1,1,1,1,0,10,2050,0,11
10176498,"2015-07-28",42707,"Ibudareign",1100,1955,1,0,118,1,0,0,1,1,1,2,1,1,10,400,0,11
10045725,"2015-07-31",23552,"Ibudareign",1000,2004,1,3,62.7,1,0,1,0,1,1,1,1,0,10,350,0,12
10018300,"2015-07-31",34226,"Ibudareign",0,1969,2,0,102.9,1,0,1,0,1,1,3,1,0,10,280,0,12
10376865,"2015-07-30",51246,"Ibudareign",1000,2015,4,5,113.4,1,1,0,1,1,1,2,1,1,10,300,60,12
10211757,"2015-08-14",36000,"Einbylishus",8717,2006,1,0,205.7,2,0,1,2,2,1,5,1,1,10,8015,0,11
10501373,"2015-08-06",49074,"Einbylishus",0,1989,1,0,122.8,1,0,1,1,1,1,3,1,1,10,120,0,11
10145070,"2015-07-09",22880,"Ibudareign",0,1974,3,0,92.2,1,0,1,0,1,1,3,1,1,10,161,0,12
10974655,"2015-07-31",19500,"Ibudareign",0,1972,4,0,74.9,1,0,1,0,1,1,2,1,1,10,161,0,12
10756476,"2015-07-24",22987,"Ibudareign",1400,1968,3,0,77.6,1,0,1,0,1,1,2,1,0,10,600,0,12
10410942,"2015-08-02",46869,"Radhus",1400,2002,1,0,163.9,2,0,1,1,2,1,3,2,1,10,640,0,11
10672613,"2015-08-04",14952,"Ibudareign",0,1942,0,0,31.7,1,0,1,0,1,0,1,1,1,10,90,12,12
10554607,"2015-08-04",48386,"Einbylishus",1400,1960,1,0,188.7,2,0,1,0,1,1,4,1,0,10,680,0,11
10545438,"2015-08-04",27855,"Ibudareign",0,1995,1,0,83.5,1,0,1,0,1,1,3,1,1,10,130,0,12
10615235,"2015-07-23",24324,"Ibudareign",0,1969,3,0,104.6,2,0,1,0,1,1,3,1,1,10,170,0,12
10649783,"2015-07-31",26900,"Ibudareign",1400,2001,1,0,85.6,1,0,1,1,1,1,2,1,0,10,640,0,12
10527966,"2015-07-31",37343,"Ibudareign",0,1989,1,0,119.1,1,0,1,0,1,1,0,2,1,10,120,0,12
10628957,"2015-07-23",38000,"Ibudareign",0,1983,6,1,94.8,1,1,1,0,1,1,2,1,1,10,85,0,12
10790062,"2015-08-04",28496,"Ibudareign",1400,2015,2,1,85.2,1,0,0,1,1,1,2,1,1,10,630,0,12
10508442,"2015-08-04",33199,"Ibudareign",1400,2002,1,0,113.2,1,0,1,0,1,1,3,1,0,10,640,0,12
10604007,"2015-08-13",16000,"Einbylishus",7617,1977,1,0,114.4,1,0,1,0,1,1,3,1,0,10,7190,0,11
10373695,"2015-08-04",40761,"Ibudareign",0,1983,1,0,149.4,2,0,1,1,2,1,3,1,1,10,283,0,12
10125086,"2015-08-04",48990,"Einbylishus",1400,1993,1,0,134.2,1,0,1,1,1,1,3,1,0,10,650,0,11
10345262,"2015-08-05",37435,"Radhus",1400,1966,1,0,144,2,0,1,1,2,1,4,1,0,10,600,0,11
10385129,"2015-07-29",38399,"Einbylishus",1400,1930,1,0,120.9,3,0,1,1,2,1,3,3,2,10,600,0,11
10688004,"2015-07-28",29400,"Ibudareign",0,1968,2,0,120.1,1,0,1,0,1,1,3,1,1,10,200,0,12
10785945,"2015-07-29",41945,"Einbylishus",1400,1946,1,0,111.9,2,0,0,1,1,1,4,2,2,9.2,600,0,11
10820732,"2015-07-30",87761,"Radhus",1300,2009,2,0,302,3,0,1,1,4,2,5,2,2,10,511,0,11
10002969,"2015-08-07",42815,"Ibudareign",1000,1994,1,0,122.3,1,0,1,1,1,1,3,1,0,10,330,0,11
10613198,"2015-04-10",62000,"Ibudareign",0,2003,5,1,150.5,1,1,1,1,2,1,2,1,2,10,90,46,12
10872722,"2015-07-31",45664,"Ibudareign",0,1936,3,0,99.5,1,0,1,1,1,1,3,1,0,10,25,0,12
10423515,"2015-07-28",56751,"Einbylishus",0,1955,1,0,167.4,2,0,1,1,2,1,5,2,0,10,281,0,11
10732630,"2015-07-22",28660,"Ibudareign",1000,1998,1,0,76.5,1,0,1,1,1,1,1,1,1,10,340,0,12
10396477,"2015-08-06",26313,"Ibudareign",1000,1978,1,0,75.3,1,0,1,0,1,1,2,1,1,10,300,0,12
10808805,"2015-07-31",23966,"Ibudareign",1400,1947,2,0,60.7,1,0,0,1,1,1,1,2,0,10,600,0,11
10397200,"2015-08-05",30228,"Ibudareign",1400,1962,1,0,99,1,0,1,0,1,1,4,1,1,10,600,0,12
10655895,"2015-08-04",28865,"Ibudareign",0,1988,3,0,99.5,1,0,0,1,1,1,2,1,0,10,120,0,12
10106156,"2015-07-31",32828,"Ibudareign",1000,1965,2,0,97,1,0,1,0,1,1,2,2,0,10,300,0,12
10026383,"2015-07-30",39929,"Ibudareign",0,1946,1,0,105.6,1,0,1,0,1,1,3,2,0,10,100,0,12
10389445,"2015-07-31",24000,"Ibudareign",0,1970,1,0,87.5,1,0,1,0,1,1,2,1,0,10,170,0,12
10119082,"2015-08-06",50943,"Radhus",0,1980,1,0,210.5,3,0,1,1,1,1,5,2,0,10,220,0,11
10093107,"2015-07-31",58944,"Einbylishus",0,1944,1,0,157.1,2,0,0,1,1,1,6,1,1,10,75,0,11
10642883,"2015-07-31",23732,"Ibudareign",0,1967,2,0,96.8,1,0,1,0,1,1,3,1,1,10,200,0,12
10195804,"2015-07-29",30359,"Ibudareign",0,1947,0,0,77,1,0,0,1,1,1,1,1,0,10,70,0,12
10328257,"2015-08-06",36469,"Ibudareign",1300,2005,1,1,95.5,1,1,1,0,1,1,3,1,1,10,510,49,12
10172454,"2015-08-21",9996,"Ibudareign",3000,1979,3,0,57.9,1,0,1,0,1,1,1,1,1,10,3000,0,12
10459687,"2015-08-28",22847,"Parhus",3000,1944,1,0,120.4,2,0,1,0,1,1,3,2,2,10,3000,0,11
10951098,"2015-08-26",26419,"Ibudareign",3000,2005,2,0,105.9,1,0,1,0,1,1,3,1,1,10,3000,0,12
10269522,"2015-08-27",40489,"Einbylishus",3000,1997,1,0,149.1,1,0,1,2,2,1,3,1,1,10,3000,0,11
10738069,"2015-08-28",33428,"Ibudareign",3000,2005,5,2,111.7,1,1,1,1,1,1,3,1,0,10,3000,0,12
10234961,"2015-08-15",22500,"Einbylishus",3811,1951,1,0,238,2,0,1,1,2,2,5,2,0,10,3040,0,11
10076471,"2015-08-05",38958,"Ibudareign",1400,1964,3,0,125.8,1,0,1,0,1,1,3,2,0,10,600,0,12
10297083,"2015-07-30",20485,"Ibudareign",0,1939,1,0,45.1,1,0,0,1,1,1,1,1,1,10,20,25,12
10045758,"2015-08-05",23241,"Ibudareign",1100,1980,3,0,52.5,1,0,1,0,1,1,1,1,0,10,400,0,12
10879965,"2015-07-30",26624,"Ibudareign",0,1974,0,0,70.7,1,0,1,1,1,1,1,1,0,10,72,0,12
10636261,"2015-07-30",30477,"Ibudareign",0,1985,0,0,115.6,1,0,1,1,1,1,1,1,1,10,150,0,11
10927717,"2015-08-11",11582,"Einbylishus",2000,1963,1,0,101.5,1,0,1,0,1,1,2,1,1,10,2090,0,11
10528315,"2015-07-29",26586,"Ibudareign",0,2004,3,3,68.9,1,1,1,0,1,1,1,1,1,10,180,0,12
10549688,"2015-07-24",10500,"Parhus",5200,1975,1,0,104.4,1,0,1,0,1,1,3,1,0,10,5120,0,11
10311465,"2015-08-27",47626,"Einbylishus",8200,1946,1,0,185.7,2,0,1,1,2,0,3,0,2,10,8010,0,11
10160608,"2015-08-06",33303,"Ibudareign",0,1974,4,1,97.8,1,0,1,0,1,1,2,2,2,10,283,0,12
10448339,"2015-07-29",28468,"Ibudareign",0,1965,4,0,88,1,0,1,0,1,1,3,1,0,10,85,17,12
10914580,"2015-08-06",38140,"Radhus",0,1958,1,0,86.4,2,0,1,0,1,1,3,1,0,10,284,0,11
10486812,"2015-08-20",25300,"Ibudareign",6100,1960,1,0,148.6,2,0,1,1,1,1,4,1,4,10,6210,0,11
10525676,"2015-08-07",35620,"Ibudareign",1604,2004,2,0,119.5,1,0,0,1,1,1,3,1,1,10,810,0,12
10102773,"2015-07-31",35291,"Ibudareign",0,1985,2,0,121.1,2,0,1,1,1,1,3,1,1,10,220,0,12
10131152,"2015-07-31",31415,"Ibudareign",1000,2000,1,1,80.8,1,0,0,1,1,1,2,1,0,10,330,0,12
10568122,"2015-07-30",34107,"Ibudareign",0,1956,1,0,82.5,1,0,1,0,1,1,2,2,2,10,80,0,12
10368833,"2015-07-01",58973,"Radhus",0,2010,1,0,164.2,1,0,1,0,2,1,4,1,0,10,180,0,11
10559128,"2015-08-02",41896,"Ibudareign",0,2007,1,0,127.5,1,0,1,1,1,1,3,1,1,10,270,0,11
10439563,"2015-08-28",17360,"Ibudareign",6000,1976,1,0,70.8,1,0,1,0,1,1,1,1,1,10,6030,0,12
10024331,"2015-08-28",25058,"Radhus",6000,1999,1,0,91.1,1,0,1,0,1,1,2,1,1,10,6080,0,11
10350417,"2015-08-30",23216,"Ibudareign",6000,1958,1,0,99,1,0,0,1,1,1,3,1,1,10,6020,0,11
10125651,"2015-08-27",17373,"Einbylishus",8508,2006,1,0,65,1,0,0,1,1,1,1,1,0,10,8150,0,11
10270331,"2015-07-09",29427,"Einbylishus",2504,1983,1,0,183,1,0,1,1,2,1,5,2,0,10,2030,0,11
10133042,"2015-08-10",39800,"Ibudareign",0,1964,2,0,115.5,1,0,1,0,2,1,4,2,1,10,100,0,12
10230911,"2015-07-20",25514,"Ibudareign",1000,2015,1,0,61.8,1,0,1,0,1,1,1,1,1,10,351,0,12
10416203,"2015-08-18",12817,"Ibudareign",5200,1980,3,0,82.3,1,0,1,0,1,1,2,1,2,10,5110,0,12
10497421,"2015-07-31",25697,"Ibudareign",1300,1978,3,0,64.1,1,0,1,0,1,1,1,1,0,10,500,0,12
10195901,"2015-08-21",17193,"Radhus",8200,2004,1,0,74.6,2,0,0,1,1,1,1,1,1,10,8010,0,11
10286720,"2015-08-21",17852,"Einbylishus",8200,1951,1,0,105.6,1,0,0,1,1,1,2,2,0,10,8010,0,11
10058134,"2015-08-29",20337,"Radhus",8508,2008,1,0,103.4,1,0,0,1,1,1,2,1,1,10,8150,0,11
10511298,"2015-08-13",18789,"Parhus",8716,1973,1,0,76,1,0,1,0,1,1,2,1,0,10,8020,0,11
